0,5,728
5,0,746
0,1,743
1,0,884
0,9,786
9,0,857
0,8,828
8,0,808
0,3,718
3,0,997
0,7,781
7,0,920
0,4,901
4,0,960
1,4,890
4,1,978
1,8,927
8,1,957
1,7,837
7,1,718
1,6,714
6,1,886
1,2,938
2,1,863
1,9,894
9,1,916
1,3,969
3,1,784
1,5,986
5,1,790
2,5,820
5,2,818
2,6,712
6,2,790
2,8,866
8,2,788
2,7,769
7,2,961
2,3,961
3,2,884
2,4,963
4,2,986
2,9,793
9,2,928
3,4,912
4,3,968
3,7,886
7,3,881
3,8,885
8,3,928
3,5,782
5,3,904
3,6,936
6,3,971
4,9,827
9,4,950
4,5,842
5,4,955
4,6,956
6,4,963
4,7,881
7,4,932
5,6,936
6,5,879
5,8,990
8,5,985
5,7,933
7,5,949
6,9,813
9,6,866
6,7,785
7,6,837
6,8,945
8,6,858
7,8,855
8,7,958
7,9,987
9,7,965
8,9,959
9,8,908
